OverviewPage,Short,Location,Region,IsDisbanded,RenamedTo
Game Coach Academy,GCA,South Korea,Korea,False,
Game Talents,GT,China,China,True,Team WE Academy
Gameburg Team,GBT,Poland,Europe,True,
GameEkstra,GE,Turkey,Turkey,True,
Gamefy,GFY,China,China,True,
Gamehoppers.eu,gh,Europe,Europe,True,
Gameplay DNA,DNA,Lithuania,Europe,True,
GamerLegion,GL,Germany,EMEA,True,
Gamers2,G2,Spain,Europe,True,G2 Esports
Gamers404,G4,Greece,EMEA,False,
GamersOrigin,GO,France,Europe,True,Team GO
GamersOrigin Academy,GO.A,France,Europe,True,
Gamespace Mediterranean College Esports,GSMC,Greece,EMEA,False,
GameWard,GW,France,EMEA,False,
GameWard Academy,GW.A,France,Europe,True,
GameWard Astrals,GWA,France,EMEA,False,
Gaming Gaming,GG,Mexico,Latin America,True,
Gaming Team Kravaře,GTK,Czech Republic,Europe,True,
GamingGear.eu,GG.EU,Lithuania,CIS,True,Team Ultra Vires
Gamtee,GT,China,China,True,
Garden Gaming,GG,Norway,EMEA,False,
GashBears,GB,Taiwan,LMS,True,
GC Busan (2020 Korean Team),GCB,South Korea,Korea,True,
GC Busan Ascension,GCA,South Korea,Korea,True,
GC Busan Rising Star,GCB,,Korea,True,
Geekay Esports,GK,Saudi Arabia,EMEA,False,
GeekCase eSports,GCE,Portugal,EMEA,True,
GeekSide Esports,GSE,,Latin America,False,
Gen.G,GEN,South Korea,Korea,False,
Gen.G Academy,GEN.A,South Korea,Korea,False,
Gen.G Global Academy,GEN.GA,South Korea,Korea,False,
Genbu Gaming,GNGG,Costa Rica,Latin America,True,
Genetics Gap,GAP,,North America,True,
Genius Esports,GE,Vietnam,Vietnam,False,
Gentle Hearts Gaming,GHG,,North America,False,
Gentle Mates,M8,France,EMEA,False,
Gentlemen's Academy,GG.A,Poland,Europe,True,
Gentlemen's Gaming,GGM,Poland,Europe,True,
Gentside,Gent,France,Europe,True,
George Mason University,GMU,,North America,False,
Geração Estrutura,GE,Brazil,Brazil,True,
German Pingus,PNGU,,Europe,True,
GF-Gaming,GF,Poland,Europe,True,Kiedys Mialem Team
GG Call Nash,GG CN,France,Europe,True,
GG Esports Academy,GGEA,,North America,True,
GG&amp;Beer,GG,Italy,Europe,True,GGEsports
GGEsports,GGE,Italy,EMEA,True,
GGEsports Academy,GGE.A,Italy,Europe,True,
Giants (Spanish Team),GIA,Spain,EMEA,True,
Giants Academy,GIA.A,Spain,Europe,True,
Giants Gaming,GIA,Spain,Europe,True,
GIANTX,GX,United Kingdom,EMEA,False,
GIANTX Academy,GXP,,EMEA,False,
Gifted Gaming,GFTD,Czech Republic,Europe,True,
Ginger Turmeric,GTC,,North America,True,Area of Effect Ginger Turmeric
Girlfriends,GFS,North America,North America,True,
Gity Meavedronu,GIT,Poland,EMEA,True,
GJR,GJR,South Korea,Korea,True,
Glacial Esports,GE,,North America,False,
Glacial Phoenix,GPX,Russia,CIS,True,
Glacial Red,GR,,North America,True,
Glaive Esports Prime,GLV,United States,North America,True,
Globant Emerald,GET,Argentina,Latin America,True,
Globant Emerald Academy,GET.A,Argentina,Latin America,True,
GLORE,GLR,Czech Republic,EMEA,False,
Glorious Gaming,GG,Netherlands,Europe,True,Pertinax Esports
Glorious Gaming Belgium,GG.BE,Netherlands,Europe,True,
Gmae,GMAE,,North America,True,
GMBLERS ESPORTS,GMB,Italy,EMEA,False,
GnG Amazigh,GNG,Tunisia,EMEA,False,
GnG Esports,GnG,Tunisia,EMEA,True,
Go To Sleep,GTS,Thailand,SEA,True,
Goat Esports,GOT,,Latin America,True,
God's Plan,GDP,,Latin America,True,
Gödel Gamers,GODL,United States,North America,True,
Godlike Goats,GLG,Colombia,Latin America,True,King of Goats
Godsent,GOD,Sweden,Europe,True,
GOEXANIMO,GOEX,,Europe,True,
Gold Coin United,GCU,United States,North America,True,
Gold Gaming LA,GG,United States,North America,True,
Golden Grubians,GRUB,,North America,True,
Golden Guardians,GG,United States,North America,True,
Golden Guardians Academy,GG.A,United States,North America,True,Golden Guardians Challengers
Golden Guardians Challengers,GGC,United States,North America,True,
Good Game Esport,GGE,Denmark,Europe,True,
Good Team Multigaming,GTM,Russia,CIS,True,
Goose Gaming,GOOS,,North America,True,
Goskilla,GSK,Switzerland,EMEA,True,
Grand View University,GVU,,North America,False,
Granit Gaming,GRNT,Sweden,Europe,True,
Gravitas,GRV,Australia,Oceania,True,
Gravitas Academy,GRVA,Australia,Oceania,True,
Gravity (2024 North American Team),GV,North America,North America,False,
Gravity (North American Team),GV,North America,North America,True,
Gravity Elite,GVE,Panama,Latin America,True,
Gravity Galaxy,GG,,North America,True,
Greek Gorillaz,GG,Greece,Europe,True,
Greek Regenesis,GRE,Greece,Europe,True,
Griffin (Korean Team),GRF,South Korea,Korea,True,
Grim Ravens,GR,Hungary,Europe,True,
Gripen Esport,GRP,Sweden,Europe,True,
Grompcord,GC,,North America,False,
Groovy Gaming,Groovy,Colombia,LAN,True,
GrosBill Esport,GB,France,Europe,True,
Ground Zero Gaming,GZ,Australia,Asia Pacific,False,
Grow uP eSports,GUP,Portugal,EMEA,False,
Grow uP Girls EU,uP EU,Portugal,Europe,True,
GRP Esports,GRP,Poland,EMEA,False,
GSG,GSG,South Korea,Korea,True,
GSI Gaming,GSI,France,Europe,True,
GTZ Esports,GTZ,,EMEA,False,
Guangdong Flying Tigers,GFT,,North America,False,
Guarp Gaming,GUAP,,EMEA,False,
Guasones,GSNS,Spain,EMEA,False,
Guerreiras Brownie Vortex,BRW,Brazil,Brazil,True,
Guerreros del Mouse,GDM,Argentina,LAS,True,
Guinea Pink,GP,Spain,EMEA,False,
Gunrunners,GRS,Czech Republic,Europe,True,
Guru Gaming,guru,Croatia,Europe,True,
H2k-Gaming,H2K,United Kingdom,Europe,True,
H34T Young Flames,YF,Poland,Europe,True,
H3ARTS,H3RT,Czech Republic,EMEA,True,
Hafnet eSports,HAF,Argentina,Latin America,True,
Hall of Fame,HOF,Vietnam,Vietnam,True,Cube Adonis
Hallow Crows,HLC,,EMEA,False,
HANAGUMI KAREN,HNK,Japan,Japan,True,
Handless,SAD,Jordan,MENA,True,
HanGong Clan,HGC,China,China,True,
Hannibal Knights,HNK,Tunisia,MENA,True,
Hanoi Dragons,HND,Vietnam,SEA,True,
Hanoi Fate,HF,Vietnam,SEA,True,
Hanoi Phoenix,HNP,,SEA,True,
Hanover Hounds,HH,Germany,Europe,True,
Hanwha Life Esports,HLE,South Korea,Korea,False,
Hanwha Life Esports Academy,HLE.A,South Korea,Korea,False,
Hanwha Life Esports Challengers,HLE.C,South Korea,Korea,False,
Hard Random,HR,Russia,CIS,True,
HarmoniX Gaming,HXG,Japan,Japan,True,
Harrisburg University,HU,,North America,False,
Havan Liberty Academy,HLA,Brazil,Brazil,True,
Havan Liberty Gaming,HL,Brazil,Brazil,True,
Havoc (Danish Team),HVC,,EMEA,False,
Havoc Gaming,HVC,,North America,True,
Headhunters,HH,Indonesia,SEA,True,
Heat Wave,HW,Taiwan,LMS,True,
Heavy Artillery,HAT,Taiwan,LMS,True,
Heavy Botlane,HB,Europe,Europe,True,
HEET,HEET,Belgium,EMEA,True,
Heimerdinger's Colossi,HC,Europe,Europe,True,
HELL PIGS,HPS,Taiwan,Asia Pacific,False,
Hellions e-Sports Club,HLN,Australia,Oceania,True,
Heracles Gaming,HRG,Spain,EMEA,False,
Herbalife Real Betis,BTS,Spain,Europe,True,
Here For T-Shirt,H4T,,North America,True,
Heroes of the Universe E-Sports Brazil,HUE BR,Brazil,Brazil,True,
Heroes Team,HT,Poland,Europe,True,
Hertha BSC eSport,BSC,Germany,Europe,True,
Hex Alligators,HEX,Japan,Japan,True,
Hexagone Esports,HEXA,,Europe,True,
HG Esports,HG,Italy,Europe,True,
High Tempo Esports,HTE,Saudi Arabia,MENA,True,
High Tempo Esports (North American Team),HTE,,North America,False,
Hillerød eSport,HeS,,Europe,True,
Hive Athens Academy,HIVE.A,Greece,Europe,True,
Hive Athens EC,HIVE,Greece,EMEA,True,
HNVR Esports,HNVR,Germany,EMEA,True,ROSSMANN Centaurs
Hokuto Esports,HKT,Japan,Japan,True,
Holy Knights,HK,Peru,Latin America,True,
Homyno Pulsia Esport,HPL,France,Europe,True,
Hong Kong Attitude,HKA,Hong Kong,PCS,True,
Hong Kong Attitude Mage,HKA.M,Taiwan,LMS,True,
Hong Kong Attitude Priest,HKA.P,Taiwan,LMS,True,
Hong Kong Carries,HKC,Hong Kong,LMS,True,
Hong Kong Esports,HKES,Hong Kong,LMS,True,Hong Kong Attitude
HongKongNine,HKN,Hong Kong,LMS,True,
Hooked Esports,HK,Ecuador,Latin America,True,
Hoon Good Day,HGD,South Korea,Korea,True,
Horizon Gaming (North American Team),HZG,,North America,True,CCG Esports
HOU GAMING,HOU,South Korea,Korea,True,
Howling eSports,HES,Croatia,Europe,True,
Huma,HMA,United Kingdom,Europe,True,
Humanoids5,H5,Chile,Latin America,True,
Hungkuang Falcon,HKF,,Asia Pacific,False,
Hurricane Gaming,HG,Taiwan,PCS,True,
Hurricane of Feathers,HOF,Portugal,EMEA,False,
HuyaTV,HuyaTV,China,Korea,True,
HVFC Bakeca Academy,HVFC,Italy,EMEA,False,
HWA Gaming,HWA,Turkey,Turkey,True,Istanbul Wildcats
HWA Gaming Academy,HWA.A,Turkey,Turkey,True,Istanbul Wildcats Academy
Hybrid Esports,HBD,Belgium,Europe,True,
Hybrid Esports UK,HYB.UK,Belgium,Europe,True,
Hydras Esport,HYD,Denmark,EMEA,True,
Hyper (Korean Team),Hyper,,Korea,True,
Hyper Nova,HN,North America,North America,True,Super Nova Sentinels
Hyper Youth Gaming,HYG,China,China,True,Saint Gaming
Hyperion Esports (European Team),HYP,United Kingdom,Europe,True,
Hyve Central,Hyve,United Kingdom,Europe,True,
I Gaming Star,IGS,South Korea,Korea,True,ES Sharks
I May,IM,China,China,True,
IceLanD,ILD,Hong Kong,LMS,True,
Ichor Gaming,ICHR,,Brazil,True,
Ici Japon Corp. Esport,IJC,France,EMEA,False,
IDM Pirata,IDMP,,Brazil,True,
IDomina eSports,iD,Italy,Europe,True,
Iguana eSports,IGE,Germany,Europe,True,
IKISEQ Gaming,IKQ,Czech Republic,EMEA,True,
Ilha da Macacada Gaming,IDM,Brazil,Brazil,True,Uppercut esports
Ilha das Lendas,IDL,,Brazil,False,
Illés Akadémia Spirit,IAS,,EMEA,False,
Illinois State University,ISU,,North America,False,
Illinois Wesleyan University,IWU,,North America,False,
Illuminar Gaming,IHG,Poland,EMEA,True,
Imaginary Gaming,IMG,France,Europe,True,
IME Wolves,IME,Brazil,Brazil,False,
Immortals,IMT,United States,North America,False,
Immortals Academy,IMT.A,United States,North America,True,Immortals Challengers
Immortals Area of Effect,IMA,,North America,True,
Immortals Challengers,IMTC,United States,North America,True,
IMP e-Sports,IMP,Brazil,Brazil,True,
Impact Gaming,IG,,Europe,True,
Imperial Esports,IE,Turkey,Turkey,True,
Imperials,IMPER,Greece,Europe,True,
Imperio eSports,IPO,Germany,Europe,True,
IMPERISHABLE CLAN,IMP,Austria,EMEA,False,
Imperium Gaming,IPR,Peru,LAS,True,
Imperium Pro Team,IPT,Philippines,SEA,True,
ImPerium Vancuverii,IMP,,North America,True,
IMProve Team,IMPT,Poland,EMEA,False,
Impunity,IMP,Singapore,Asia Pacific,False,
Impunity Legends,IPN.L,Singapore,SEA,True,
IN Gaming,ING,China,China,True,
Inaequalis,INAE,Czech Republic,Europe,True,
Inaequalis Academy,INAE.A,Czech Republic,Europe,True,
Incredible Miracle,IM,South Korea,Korea,True,Longzhu Gaming
Incredible Miracle 1,IM1,South Korea,Korea,True,
Incredible Miracle 2,IM2,South Korea,Korea,True,
Incredible Miracle Athena,IMA,South Korea,Korea,True,
Incubus,INC,Peru,Latin America,True,
Indictive Esports,IN,,Europe,True,
INEA Esports,IN,,Europe,True,Indictive Esports
InFamouS Esport,IFS,France,Europe,True,
Infamous Gaming,IFG,Peru,LAS,True,
Infernal Void,IV,Germany,EMEA,False,
InFerno eSports,inF,Italy,Europe,True,
Infernum Gaming,INF,Australia,Oceania,True,
Infinite Odds,IO,North America,North America,True,
INFINITY,INF,Costa Rica,Latin America,False,
Infinity Esports (2015 North American Team),OO,United States,North America,True,
Infinity Esports Academy,INF.A,Costa Rica,Latin America,True,
Infinity Esports Colombia,INF.C,Costa Rica,Latin America,True,
Infinity Esports Costa Rica,INF.CR,Costa Rica,Latin America,True,
Infusion,INF,,North America,True,
Inside Games,ING,Czech Republic,EMEA,False,
Inside Games Challengers,ING.C,Czech Republic,EMEA,True,
Insidious Gaming Candy,iSC,Malaysia,SEA,True,
Insidious Gaming Exile,iSE,Singapore,SEA,True,
Insidious Gaming KTB,iS.KTB,Malaysia,SEA,True,Team KTHXBAI
Insidious Gaming Legends,iSL,Singapore,SEA,True,
Insidious Gaming Rebirth,iSR,Singapore,SEA,True,
Insight eSports,IE,Brazil,Brazil,True,
Inspire eSports,IE,Germany,Europe,True,
Instinct Gaming,INS,Peru,Latin America,True,
Instruments of Surrender,INST,Ukraine,CIS,True,The RED
Intel New Indians,NEW,Argentina,Latin America,True,
Intellectual Playground,IPG,Denmark,Europe,True,
Intergalaxy Tigers Gaming,ITX,Brazil,Brazil,True,
International Esports Industry Center,IEIC,Taiwan,Asia Pacific,False,
Internationally V,IV,Russia,CIS,True,
Internaziomale,ZIOM,Poland,EMEA,True,Wina Krzycha
Interstellar Yappers,YAP,,North America,False,
Intrepid Fox Gaming,IF,Greece,Europe,True,
Intuition,ITN,Australia,Oceania,True,
INTZ,ITZ,Brazil,Brazil,False,
INTZ Academy,ITZ.A,Brazil,Brazil,False,
INTZ Red,RED,Brazil,Brazil,True,RED Canids
INTZ.Genesis,ITG,Brazil,Brazil,True,
INVADERS,INV,United Kingdom,Europe,True,
Inventive Esports,INV,,EMEA,True,
Invictus Gaming,iG,China,China,False,
Invictus Gaming Deadly Fiend Girls,iG.DFG,China,China,True,
Invictus Gaming Young,IGY,,China,False,
Invictus Girls,iGirls,China,China,True,
INvolute,iNv,Czech Republic,Europe,True,
Invulnerables Esports,INVL,United Kingdom,EMEA,True,
ION Global Esports,ION,Australia,Asia Pacific,False,
Ion Squad,ION,,Europe,True,
Ion Squad Academy,ION.A,,Europe,True,
Ionikos Nikaias Esports,INE,,EMEA,False,
IQuit-Gaming Greece,iQuit GR,Germany,Europe,True,
Iron Hawks e-Sports,HKS,Brazil,Brazil,True,
Iron Wolves,WOLF,Lithuania,EMEA,False,
ISC Pro Team,ISC,Philippines,SEA,True,Bren Esports
ISO eSports,ISO,Finland,Europe,True,Team Frosty
Issue is Critical,IIC,,North America,True,
Istanbul Wildcats,IW,Turkey,EMEA,True,
Istanbul Wildcats Academy,IWC.A,Turkey,Turkey,True,
Isurus,ISG,Argentina,Latin America,False,
Isurus Academy,ISG.A,Argentina,Latin America,True,
Isurus Gaming Chile,ISG CL,Chile,LAS,True,
ITS DOOMED,DOOM,,North America,True,
IWantCookie,IWC,Europe,Europe,True,DragonBorns
Izanagi eSports,IZG,Brazil,Brazil,False,
Izanagi Ignis,IZG.I,Brazil,Brazil,False,
Izi Dream,IZI,France,EMEA,False,
J Team,JT,Taiwan,Asia Pacific,False,
J Team 2,JII,Taiwan,PCS,True,Taipei Bravo
Jakarta Juggernauts,J2G,Indonesia,SEA,True,
Jake's Kittens,JK,,North America,True,
Janus Esports,JNS,United States,Latin America,True,Janus Panter
Janus Panter,JNS,Guatemala,Latin America,False,
Janus Vipers,JV,Guatemala,Latin America,True,
JAYOB e-Sports,JAY,Brazil,Brazil,True,
JD Gaming,JDG,China,China,False,
JDXL,JDXL,United Kingdom,Europe,True,
Ji Jie Hao,JJH,,China,False,
Jin Air Green Wings,JAG,South Korea,Korea,True,
Jin Air Green Wings Falcons,JAG.F,South Korea,Korea,True,
Jin Air Green Wings Stealths,JAG.S,South Korea,Korea,True,
JingNetGame,JNG,China,China,True,
Jlingz Esports,JL,United Kingdom,EMEA,True,
Joblife,JL,France,EMEA,False,
Join The Force,JTF,Netherlands,EMEA,True,
Jörmungang,JMGG,France,EMEA,False,
Joseph Hong,LEV,,North America,True,
Joy Dream,JDM,China,China,False,
Juicy Ballers,BALL,Poland,EMEA,False,
Just Randoms,JR,,North America,True,
Just Toys Gaming,JTG,Mexico,LAN,True,
Just Toys Havoks,JTH,Mexico,LAN,True,
Justforfun,jff,,Europe,True,
K Special Forces,KSF,,LMS,True,
K1CK,K1,Portugal,Europe,True,
K1ck Black,K1CK.B,Portugal,Europe,True,
K9,K9,,North America,False,
KaBuM! Academy,KBM.A,Brazil,Brazil,False,
KaBuM! Black,KBB,Brazil,Brazil,True,
KaBuM! Esports,KBM,Brazil,Brazil,False,
KaBuM! IDM Gaming,KBM IDM,Brazil,Brazil,True,
KaBuM! IDM UP,KIDM UP,Brazil,Brazil,True,
Kaisa Gaming,KSG,China,China,True,
Kaizen Esports,KZN,Colombia,Latin America,True,
Kameto Corp,KC,France,Europe,True,Karmine Corp
Kanaya Gaming,Kanaya,Indonesia,SEA,True,Duck In a Box
Kanga Esports,KNG,Australia,Asia Pacific,False,
KAOS e-sport,KAOS,Norway,EMEA,False,
Kaos Latin Gamers,KLG,Chile,Latin America,True,
Kaos Latin Gamers Academy,KLG.A,Chile,Latin America,True,
KappaChungus,KAPP,,North America,True,
Kapsoura,KPS,Mexico,Latin America,False,
Karma Clan Esports,KRM,Portugal,Europe,True,
Karmine Corp,KC,France,EMEA,False,
Karmine Corp Blue,KCB,France,EMEA,False,
Karolinerna,K5,Sweden,EMEA,False,
Karont3 e-Sports Club,K3,Spain,Europe,True,
KartRiderTeam,KRT,Taiwan,LMS,True,
KATANA (Turkish Team),KTN,Turkey,EMEA,False,
Katastrofa Awionetki,kT,Poland,Europe,True,
Kaufland Hangry Knights,KHK,Germany,EMEA,False,
Kawaii Kiwis,KwK,Spain,EMEA,False,
Keep Gaming,KEEP,Brazil,Brazil,True,
Keep Pathing Bot,KPB,,North America,True,
Kelyx's Grandpa Gamers,KGG,,North America,True,
Kenty,KEN,Lithuania,Europe,True,
Keyd Warriors,kW,Brazil,Brazil,True,
KeyMedia,KM,China,China,True,
Keypulse Esports,KYP,,EMEA,False,
KIA.eSuba Academy,ESB.A,Czech Republic,EMEA,False,
Kiedys Mialem Team,KMT,Poland,Europe,True,
Killabeez,KBZ,Spain,Europe,True,
Kim Esports,KIM,,EMEA,True,
King of Future,KOF,China,China,True,Top Esports Challenger
King of Goats,KOG,Colombia,Latin America,True,
Kings of the North,KON,,Latin America,True,
Kings of Uganda,KOU,,North America,True,
Kingzone DragonX,KZ,China,Korea,True,DragonX
KIT SC SmartWe,KIT,Germany,EMEA,False,
KIT SC White,KIT.W,Germany,EMEA,False,
KIYF eSports Club,KIYF,Spain,Europe,True,
Klanik Esport,KE,France,EMEA,False,
KlikTech,KLT,Croatia,Europe,True,
KmK eSports,KmK,,Europe,True,
KnockOut Esports,KO,Saudi Arabia,MENA,False,
KODE Gaming,KODE,Spain,EMEA,False,
KOI (Spanish Team),KOI,Spain,EMEA,False,
KOI Academy,FNK,Spain,EMEA,True,
KOI Amethyst,KOI.A,Spain,EMEA,False,
Kokoro No Senshi,KNS,,Latin America,True,
Kolejny Cios,KC,Poland,Europe,True,
Komil and Friends,KNF,Poland,EMEA,True,
Komodo (North American Team),KMD,,North America,False,
Komputronik Gaming Scouting Grounds,KG,,Europe,True,
Komputronik H34T,HIT,Poland,Europe,True,
Kongdoo Monster,KDM,South Korea,Korea,True,
Konix eSport,Konix,France,Europe,True,
Korean Streamer,KRS,,Korea,True,
KOVA Esports,KOVA,Finland,Europe,True,
Kowloon Esports,KE,Hong Kong,LMS,True,
KR Reykjavík Esports,KR,Iceland,Europe,True,
Kraken E-Sports,KNS,Peru,Latin America,True,
KRC Genk Esports,GENK,,EMEA,True,
KRC Genk Esports Talent Team,GNKT,Belgium,Europe,True,
KRÜ Esports,KRU,Argentina,Latin America,True,
KSV eSports,KSV,South Korea,Korea,True,Gen.G
KT Rolster,KT,South Korea,Korea,False,
KT Rolster Academy,KT.A,South Korea,Korea,False,
KT Rolster Arrows,KT.A,South Korea,Korea,True,
KT Rolster Bullets,KT.B,South Korea,Korea,True,
KT Rolster Challengers,KT.C,South Korea,Korea,False,
Kuala Lumpur Hunters,KLH,Malaysia,SEA,True,
Kubyd's Syndrome,Kubyd's,Poland,Europe,True,
Kumiho Esports,KHO,Spain,EMEA,True,
Kun Shan Lightning Tiger,KSLT,Taiwan,PCS,False,
Kurulean's Kittens,KURU,,North America,False,
KV Mechelen Esports,KVM,Belgium,Europe,True,
KV Mechelen Esports Academy,KVM.A,Belgium,Europe,True,
KV Mechelen Esports Strijders,KVM.S,Belgium,Europe,True,
Kwangdong Freecs,KDF,South Korea,Korea,False,
Kwangdong Freecs Academy,KDF.A,South Korea,Korea,False,
Kwangdong Freecs Challengers,KDF.C,South Korea,Korea,False,
Kx.Cash,KXC,China,China,True,
Kx.Happy,KXH,China,China,True,Revenger (Chinese Team)
L’art de la Guerre,ART,,North America,False,
Labradoodle 9,LAB9,,Europe,True,
Lachende Gerdas,LACH,,Europe,True,
Lamasticrew,Lama,France,Europe,True,
LanCraft,LAN,Czech Republic,Europe,True,
Lanomania,LMA,Sweden,Europe,True,
LanXiang Gaming,LX,China,China,True,
LaoPengYou,LPY,,China,True,
Laranja Mecânica,LMEC,Brazil,Brazil,False,
Laranja Mecânica Ignis,LMEC.I,Brazil,Brazil,False,
Large (North American Team),LRG,,North America,True,
Last Group,LG,Uruguay,LAS,True,
Last Kings,LK,Chile,LAS,True,
Last Resistance,LR,,North America,True,
Laughing Coffins,LC,Greece,Europe,True,
Lazy In Life,LAZY,Norway,EMEA,False,
LBS Esports,LBS,Argentina,Latin America,True,
LCVS Fighting,LCVS,Taiwan,Asia Pacific,True,
LD50 Gaming,LD50,Japan,Japan,True,
LDLC OL,LDLC,France,EMEA,True,
LDM Esports,LDM,,Latin America,True,
LDM Mexico,LDM,Chile,Latin America,True,
LDN UTD,LDNU,United Kingdom,Europe,True,
LDN UTD Ice,LDNU.I,United Kingdom,Europe,True,
LEC Kings,RITO,,Europe,True,
Legacy Esports,LGC,Australia,Oceania,True,
Legacy Genesis,LGG,Australia,Oceania,True,
Legatum,LGT,Chile,LAS,True,
Legend Dragon,LD,China,China,True,
Legend Dragon Academy,LDA,China,China,True,
Legend Esport Gaming,LEG,,China,True,
Legendary,LDY,North America,North America,True,
LegendsBR,LBR,Brazil,Brazil,True,
Legion Gaming (European Team),LG,United Kingdom,Europe,True,
Legion Gaming (Oceanic Team),LGN,Australia,Oceania,True,
Lemondogs,LD,Sweden,Europe,True,
Lemondogs Argentina,LD ARG,Sweden,LAS,True,
Leões Porto Salvo Esports,LPS,Portugal,EMEA,False,
Levante UD Esports,LUD,Spain,EMEA,True,
Level One,Lv1,Italy,Europe,True,
Level Up esports,LVL,,Europe,True,
Leviatan,LEV,Argentina,Latin America,False,
Leviatan Esports Chile,LEV,Argentina,Latin America,True,
Corax Gaming,CX,Belgium,Europe,True,
Córdoba Patrimonio eSports,CPH,Spain,EMEA,True,
CORE 128,CORE,Spain,EMEA,False,
Core Dynamic,CDY,Germany,Europe,True,
Corinthians Esports,CRT,Brazil,Brazil,True,
COS City Hawk,TPCU,Taiwan,PCS,False,
Cosa Gamers,CG,,North America,False,
Coscu Army,CA,Argentina,Latin America,True,
Cosmic Vipers,CV,,North America,False,
Cosmic Wolf Esports,CW,,North America,True,
Cougar E-Sport,CGE,Taiwan,LMS,True,
Could Be Better,CBB,Lithuania,Europe,True,
Counter Counter Clockwise,CCC,Europe,Europe,True,
Counter Logic Gaming,CLG,United States,North America,True,
Counter Logic Gaming Europe,CLG.EU,Europe,Europe,True,
Coven,CVN,Brazil,Brazil,False,
Cowana Gaming,COW,Germany,Europe,True,
CowBoySquad Imperials Esports,CBI,Greece,Europe,True,
CowBoySquad Imperials Esports Academy,CBI.A,Greece,Europe,True,
CPLAY,CP,Germany,EMEA,False,
CR4ZY,C4,Croatia,Europe,True,Valiance
Cream Esports,CRM,Spain,Latin America,True,
Cream Real Betis.EU,BTS,Spain,Europe,True,
Cream Real Betis.Mexico,CRB,Spain,Latin America,True,
Cremas Esports,CRE,Peru,Latin America,True,Universitario Esports
Crest Gaming Act,CGA,Japan,Asia Pacific,True,AXIZ CREST
Crest Gaming Act Academy,CGA.A,Japan,PCS,True,AXIZ CREST Academy
Crew e-Sports Club,CEC,Turkey,Turkey,True,YouthCrew Esports
Crimson Gaming,CRM,Australia,Oceania,True,
CrossGaming,CG,Hong Kong,LMS,True,
CrowCrowd,CC,Russia,CIS,True,
Cruzados Esports,UC,Chile,Latin America,True,
Cruzeiro Academy,CRZ.A,Brazil,Brazil,True,E-Flix eSports
Cruzeiro eSports,CRZ,Brazil,Brazil,True,E-Flix eSports
Crvena zvezda Esports,CZV,Serbia,EMEA,False,
Crypto Esports,CRY,Spain,Europe,True,
Crypto Esports.CIS,CRY,Spain,CIS,True,
Cryptova,OVA,Czech Republic,EMEA,True,
Crystal Cave Gaming Emerald,CCGE,,North America,True,
CSG Gaming,CSG,Mexico,LAN,True,
CST Team,CST,Taiwan,PCS,False,
CTBC Flying Oyster,CFO,Taiwan,Asia Pacific,False,
CTBC Flying Oyster Academy,CFOA,Taiwan,Asia Pacific,False,
CTRL PLAY,CPT,Russia,CIS,True,
CTRL PLAY Academy,CPT.A,Russia,CIS,True,
CTU Pathos,CTU P,South Korea,Korea,True,
Cube Adonis,ADN,,Vietnam,True,CERBERUS Esports (Vietnamese Team)
Curse Academy,CA,North America,North America,True,Gravity (North American Team)
Cursed Rage,CSR,Chile,LAS,True,
CUT Esports,CUT,Denmark,MENA,True,
Cyber Gamer e-Sports,CGE,,Brazil,True,
Cyber Gaming,CG,Czech Republic,Europe,True,
Cyber Gaming Academy,CG.A,Czech Republic,Europe,True,
Cyber Wolves,CWE,Slovenia,EMEA,False,
Cyberground Gaming,CGG,Italy,EMEA,True,EKO Academy
Cyberground Gaming Academy,CGG.A,Italy,Europe,True,
Cyborg Factory,CGF,Czech Republic,Europe,True,
Cycle Esports,CYL,Jordan,MENA,True,
Cyclone,CL,Japan,Japan,True,
CYRUS,CRS,,Vietnam,False,
Cyzone,CYZ,Vietnam,SEA,True,
Czas na zasady,CNZ,,Europe,True,
Czeska Husaria,CZH,,Europe,True,
D-City Gaming Stars,DCG,,Europe,True,1. Esport Verein Darmstadt e.V.
D-City Gaming Stars Gold,DCG.G,Germany,Europe,True,1. Esport Verein Darmstadt e.V. Academy
D7G Esports Club,D7G,China,China,True,
Da Dancing Demons,D3,Peru,Latin America,True,
Dadslammers,DAD,North America,North America,True,
Dai Dai Gaming,DaiDai,Brazil,Brazil,True,
DAN Gaming,DAN,China,China,True,
Dango,DNG,Spain,EMEA,True,
Dango SB,DSB,Spain,EMEA,True,
Dare Black,DARE.B,,North America,False,
Dare Gaming,DARE,,North America,True,
Dare White,DARE.W,,North America,True,
Dark Allegiance,DA,Canada,North America,True,
Dark Crows,DCR,Chile,Latin America,True,
Dark Horse,DHX,Chile,Latin America,True,
Dark Matter,SNDM,North America,North America,True,
Dark Passage,DP,Turkey,EMEA,False,
Dark Passage Academy,DP.A,Turkey,Turkey,True,
Dark Passage White,DPW,Turkey,Turkey,True,
Dark Quality,DQT,,Latin America,True,
Dark Tigers,DTG,Czech Republic,Europe,True,
Dark Tigers Academy,DTG.A,Czech Republic,Europe,True,
Dark Wolves,DW,South Korea,Korea,True,
Dark Zone,DZ,Italy,Europe,True,
Darkness Eagles Esports,DEGs,Mexico,LAN,True,
DarkSpawn Gaming,DSG,United Kingdom,Europe,True,
DarlingYou,DLY,Taiwan,LMS,True,
