Player,Country,Birthdate,ResidencyFormer,Team,Residency,Role,FavChamps,RoleLast,IsRetired,ToWildrift,Birthdate__precision,AllName
Dragon (Sebastian Purcell),Australia,,,,Oceania,Support,,Support,True,False,,Dragon (Sebastian Purcell)
Dragon (Sun Hao-Ming),China,,,,China,Manager,,Manager,True,False,,"Dragon (Sun Hao-Ming), HiGo龙神絕"
Dragon (Trịnh Xuân Long),Vietnam,,,,SEA,Mid,,Mid,True,False,,Dragon (Trịnh Xuân Long)
Dragonblood,Japan,,Japan,,Asia Pacific,Jungle,,Jungle,True,False,,Dragonblood
Dragonjindi,United States,,,,North America,Jungle,"Graves,Hecarim",Jungle,True,False,,"Dragonjindi, Shr3kLovezMe"
Dragonmin,South Korea,,,Fisher College,North America,Coach,,Assistant Coach;Bot,False,False,,"Dragonmin, Dragonminkim"
DragonRaider,Canada,,,,North America,Top,,Top,True,False,,DragonRaider
Dragonshrek,Norway,,,,Europe,Top,,Top,True,False,,Dragonshrek
Dragoon,United States,2002-04-19,,Dragoon's Goons,North America,Top,"Gangplank,Darius,Sett,K'Sante",Top,False,False,1.0,"Dragoon, Dragoonsmash"
Dragoon (Nuno Pereira),Portugal,,,,Europe,Mid,,Mid,True,False,,Dragoon (Nuno Pereira)
DragosWG,Romania,,Europe,,EMEA,Jungle,,Jungle,False,False,,DragosWG
Draguner,Canada,,,,North America,Jungle,,Jungle,True,False,,"Draguner, XDragunerX"
Draher,United States,1996-05-29,,Grand View University,North America,Coach,"Jhin,Tahm Kench",Head Coach,False,False,1.0,Draher
Drak,Australia,,Oceania,,Asia Pacific,Coach,,Head Coach,True,False,,"Drak, Coach Drak, Drakkerne"
Drakarys,Argentina,,,,Latin America,Top,,Top,True,False,,Drakarys
Drake (Ashton Newsome),United States,,,Fisher College,North America,Coach,,Head Coach,False,False,,Drake (Ashton Newsome)
Drakehero,Brazil,2003-07-07,,Liberty Academy,Brazil,Jungle,"Sylas,Lee Sin",Jungle,False,False,1.0,"Drakehero, Drake (Luciano Paes)"
Drakkars,Colombia,1993-12-04,Latin America North,,Latin America,Coach,,Strategic Coach,True,False,1.0,Drakkars
Drakneess,Costa Rica,,,,Latin America,Top,,Top,True,False,,Drakneess
Drakos,United States,1992-11-17,,Riot Games Inc.,North America,Caster,,Caster,False,False,1.0,"Drakos, Tsepha"
Drakowka,Russia,,,,CIS,Bot,,Bot,True,False,,"Drakowka, Drakowka N1L"
Draktharr,Vietnam,2003-03-10,,Team Flash.Vietnam,Vietnam,Jungle,"Rengar,Ekko,Graves",Jungle,False,False,1.0,"Draktharr, Jahseh, Loyalty"
Drakzai,Costa Rica,,,,Latin America,Jungle,,Jungle,False,False,,Drakzai
DramaticSaber,United States,,,Columbia College,North America,Bot,,Bot,False,False,,DramaticSaber
Drannarith,Czech Republic,,,,EMEA,Bot,,Bot,False,False,,Drannarith
Draptix,France,1998-05-24,Europe,,EMEA,Top,,Top,False,False,1.0,Draptix
Draqon,Australia,,,,Oceania,Bot,,Bot,True,False,,Draqon
Drastic,South Korea,,,,Korea,Jungle,,Jungle,True,False,,Drastic
Dratiko,France,,Europe,,EMEA,Bot,"Draven,Vayne,Kalista",Bot,False,False,,Dratiko
draw,Taiwan,1999-08-26,Taiwan,,LMS,Jungle,,Jungle,True,False,1.0,"Draw, 不會畫畫"
Drawleks,Belgium,1998-07-10,Europe,,EMEA,Support,"Bard,Zoe",Support,False,False,1.0,Drawleks
Draxyr,United States,2000-12-02,,,North America,Mid,,Bot,False,False,1.0,Draxyr
DrCalculus,Canada,,,University of Western Ontario,North America,Top,,Top,False,False,,"DrCalculus, Calculus"
DrChaos,Switzerland,2001-06-09,Europe,,EMEA,Support,,Support,False,False,1.0,"DrChaos, Chaos (Riccardo Mann), DoC Chaos, Dr Chaos"
DrCoiss,Netherlands,,,,Europe,Coach,,Coach,True,False,,DrCoiss
Dread (Lee Jin-hyeok),South Korea,2000-06-07,,,Korea,Jungle,"Yasuo,Camille,Ekko",Jungle,False,False,1.0,"Dread (Lee Jin-hyeok), Hyeok, Twinkle"
Dream (Dai Wen-Jie),China,,,,China,Bot,,Bot,True,False,,"Dream (Dai Wen-Jie), Youmeng"
Dream (Richard Chew),Singapore,,,,SEA,Mid,,Mid,True,False,,"Dream (Richard Chew), SnipeRC"
Dream (Shek Hoi Yee),Hong Kong,1997-09-13,LMS,Reborn Esport,Asia Pacific,Caster,,Caster,False,False,1.0,"Dream (Shek Hoi Yee), 149CM的女王, Syreni"
Dream (Tan Wen-Xiang),China,2002-09-15,,,China,Mid,"Sylas,Orianna",Mid,False,False,1.0,Dream (Tan Wen-Xiang)
Dream Maker (Ivan Chiodo),,,Europe,,EMEA,Mid,"Akali,Viktor",Mid,False,False,,"Dream Maker (Ivan Chiodo), Dreammaker (Ivan Chiodo)"
Dreamaster,China,,,,China,Support,,Support,True,False,,"Dreamaster, Anm (Chen Chen)"
Dreamer,Taiwan,1991-10-17,LMS,,Asia Pacific,Coach,Trundle,Head Coach,False,False,1.0,"Dreamer, Dream星羽"
Dreamer Ace,Austria,1997-05-09,Europe,,EMEA,Support,"Thresh,Morgana,Braum",Support,True,False,1.0,"Dreamer Ace, DreamerAce"
dayshifted,Australia,,,,Oceania,Bot,,Bot,True,False,,Dayshifted
Daystar,South Korea,2003-09-23,,BNK FearX Youth,Korea,Mid,,Mid,False,False,1.0,"Daystar, Sirius (Yoo Ji-myeong)"
Daza,Bolivia,2002-07-22,,,Europe,Mid,"Vladimir,Orianna,Katarina,Sion",Mid,True,False,1.0,Daza
Dazai,Malaysia,2000-12-08,Southeast Asia,,PCS,Bot,,Bot,True,False,1.0,Dazai
Dazzl3,Argentina,1999-07-08,,,Latin America,Top,,Top,False,False,1.0,Dazzl3
dbh,China,,,Anyone's Legend.Young,China,Jungle,,Jungle,False,False,,Dbh
DBL,United Kingdom,,Europe,,EMEA,Top,,Top,True,False,,"DBL, DeathByLollipops"
dCard,Canada,,,,North America,Mid,,Mid,True,False,,DCard
dcPain,Argentina,,,,LAS,Bot,,Bot,True,False,,"DcPain, Omegadcc"
DCStar,Mexico,1994-12-21,Latin America North,,Latin America,Caster,"Zed,LeBlanc,Blitzcrank",Analyst,True,False,1.0,DCStar
DD (Erman Dünya Uzun),Turkey,,,,Turkey,Mid,,Mid,True,False,,DD (Erman Dünya Uzun)
DD (Yip Ka Ming),Hong Kong,,,,LMS,Mid,,Mid,True,False,,DD (Yip Ka Ming)
Ddaegul,South Korea,,,,Korea,Top,,Top,True,False,,Ddaegul
DDagyun,South Korea,1999-01-05,,,Korea,Top,,Top,False,False,1.0,DDagyun
DDahyuk,South Korea,2004-09-04,,Nongshim RedForce Academy,Korea,Top,,Top,False,False,1.0,DDahyuk
DDan,Singapore,,,,SEA,Jungle,,Jungle,True,False,,"DDan, NewNorth"
DDC,Taiwan,1998-04-29,Taiwan,,LMS,Bot,,Bot,True,False,1.0,"DDC, Rip7995"
DDD,China,,,,Oceania,Top,,Top,True,False,,DDD
DDejan,Serbia,,,,Europe,Top,,Top,True,False,,DDejan
DDoiV,South Korea,2003-10-21,,OKSavingsBank BRION Challengers,Korea,Jungle,,Jungle,False,False,1.0,"DDoiV, Banana (Bang Moon-yeong), Void (Bang Moon-yeong)"
DDOSS,United States,,,,North America,Support,,Support,False,False,,DDOSS
De Groote,Belgium,2001-06-18,Europe,,EMEA,Mid,,Mid,False,False,1.0,De Groote
Deaciepoo,Peru,,,,LAN,Bot,,Support,True,False,,"Deaciepoo, Orphenn"
Deacon,Norway,,,,Europe,Jungle,,Jungle,True,False,,Deacon
Deadhound,Denmark,,,UniQ Esports Club,EMEA,Bot,,Bot,False,False,,Deadhound
DeadLee,Canada,,,,North America,Coach,,Head Coach,True,False,,DeadLee
Deadly,United Kingdom,1999-08-28,Europe,Ici Japon Corp. Esport,EMEA,Bot,"Jhin,Ezreal,Lucian,Kalista",Bot,False,False,1.0,Deadly
Deadly (Michal Ptáček),Czech Republic,,,,Europe,Support,,Support,True,False,,Deadly (Michal Ptáček)
DeadlyBreeze,Portugal,,,,Europe,Coach,,Coach,True,False,,DeadlyBreeze
DeadlyBrother,Lithuania,1993-08-03,,,Europe,Bot,"Ezreal,Varus,Graves,Twitch",Bot,True,False,1.0,DeadlyBrother
Deadpool,Colombia,,,,Latin America,Jungle,,Jungle,True,False,,Deadpool
DeadShadow,Portugal,2001-01-11,Europe,LUA Gaming,EMEA,Coach,"Elise,Viego,Thresh",Head Coach,False,False,1.0,"DeadShadow, DeadSH"
DeadSky,Chile,,,,Latin America,Jungle,,Jungle,False,False,,DeadSky
DeafRef,China,,,University of Toronto,North America,Mid,,Mid,False,False,,DeafRef
Deam,Costa Rica,2000-07-14,,Isurus,Latin America,Analyst,"Lee Sin,Elise,Nidalee,Nocturne",Head Analyst,False,False,1.0,"Deam, Deam147"
Deamon,United States,,,University of Southern California,North America,Jungle,,Jungle,False,False,,Deamon
Dean (Dean Wood),United States,,,,North America,Support,,Support,True,False,,Dean (Dean Wood)
Dean (Haithem Attia),Tunisia,,,3BL Esports,EMEA,Jungle,,Jungle,False,False,,"Dean (Haithem Attia), 21Y, Armoured Dean, Dean v3"
Deano,Canada,,,,North America,Support,"Pyke,Renata Glasc,Senna,Yuumi,Amumu",Support,True,False,,Deano
Deant,Japan,2003-06-25,Japan,DetonatioN FocusMe Academy,Asia Pacific,Bot,,Bot,False,False,1.0,Deant
Death (Canadian Player),Canada,,,York University,North America,Top,"Fiora,Camille",Top,False,False,,Death (Canadian Player)
DeathArrow,Romania,,Europe,,EMEA,Bot,,Bot,False,False,,"DeathArrow, DeathArrøw, Săgețel, Trickster Gød"
DeathClaw,Taiwan,2000-02-09,Taiwan,TNU Eagle,Asia Pacific,Mid,,Mid,False,False,1.0,DeathClaw
deathleap,Peru,,,,Latin America,Top,,Top,True,False,,"Deathleap, Death Leap"
DEATHMACHINELOL,Austria,,,,Europe,Bot,,Bot,True,False,,DEATHMACHINELOL
Deathwalker,United States,2002-08-05,,,North America,Bot,"Yone,Yasuo,Garen,Jinx",Bot,False,False,1.0,"Deathwalker, Death (Andrew Wong), Deathwalk2, Deathwalker222"
Deathwebber,Denmark,,,,Europe,Support,,Support,True,False,,Deathwebber
DeAwOnS,Czech Republic,,Europe,,EMEA,Coach,,Coach,False,False,,DeAwOnS
Debounair,United States,,,Ember Foxes,North America,Mid,,Mid,False,False,,Debounair
DeC,South Korea,,,,Korea,Coach,,Coach,True,False,,"DeC, Kimiaiaoi"
Dec0y,Canada,2000-04-27,,Mirage Alliance Baguette,North America,Top,"Riven,Jayce,Akali,Kennen",Top,False,False,1.0,"Dec0y, Decoy (Noah D'Addario), Decoy1"
Dec1m,Greece,1998-08-27,,,Europe,Top,"Jayce,Aatrox,Renekton,Camille",Top,True,False,1.0,Dec1m
Decade,China,,,Ultra Prime,China,Top,,Top,False,False,,Decade
Decagon Moon,Turkey,,,,Turkey,Jungle,,Jungle,True,False,,Decagon Moon
Decak,Poland,,Europe,,EMEA,Coach,,Strategic Coach,True,False,,Decak
Decapsy,Italy,1997-02-12,,,Europe,Support,,Support,True,False,1.0,"Decapsy, Orgen"
Decay,France,1999-12-21,Europe,Solary,EMEA,Mid,"Talon,LeBlanc,Kassadin,Akali",Mid,False,False,1.0,"Decay, Decay0"
Deceit,China,1997-07-31,,Rare Atom,China,Coach,,Head Coach,False,False,1.0,"Deceit, SLJ, 士力架"
Deceiving,Egypt,,,RA'AD,EMEA,,,Mid,False,False,,"Deceiving, FA Midlaner"
Deceller,Spain,,Europe,Dream Makers,EMEA,Jungle,,Jungle,False,False,,Deceller
Decerux,United States,1990-09-15,,,North America,Caster,"Lissandra,Lee Sin,Vi,Pantheon",Caster,False,False,1.0,Decerux
decky,South Korea,2002-07-19,,,Korea,Top,Gragas,Top,False,False,1.0,"Decky, Gragaz, Wit (Hong Dong-hyeok)"
Decod,Norway,,,,Europe,Bot,,Bot,True,False,,Decod
Decoy,New Zealand,1997-12-13,Oceania,Team Bliss,Asia Pacific,Support,,Support,False,False,1.0,Decoy
Decoy (Japanese Player),Japan,,Japan,,Asia Pacific,Support,,Support,True,False,,Decoy (Japanese Player)
Decrow,Thailand,,,,SEA,Top,,Top,True,False,,Decrow
Dedrayon,Poland,1995-01-30,,,Europe,Jungle,"Amumu,Nidalee,Lux,Syndra",Jungle,True,False,1.0,Dedrayon
Dee,Taiwan,1993-12-01,LMS,,Asia Pacific,Bot,Ezreal,Bot,False,False,1.0,"Dee, Deee, Pandora 迪, PandoraDi"
Deeang,Mexico,,,,Latin America,Jungle,,Jungle,True,False,,Deeang
DeeDram,Russia,,,,CIS,Support,,Support,True,False,,DeeDram
deeex,Japan,,,,Japan,Jungle,,Jungle,True,False,,Deeex
Deefix,Slovakia,,,,Europe,Top,,Top,True,False,,Deefix
Deemex,Chile,2000-02-23,,,Latin America,Top,,Top,True,False,1.0,Deemex
Deemo,China,1995-03-15,,,China,Jungle,,Jungle,True,False,1.0,"Deemo, BB, March, Milky (Ye Jia-Bin), Niunai (Ye Jia-Bin), Oli (Ye Jia-Bin)"
Deepe,Slovakia,,Europe,Diversion Gaming,EMEA,Mid,"Vladimir,Orianna,Taliyah,Neeko",Mid,False,False,,Deepe
DeepLearn,Canada,,,,North America,Bot,"Xayah,Lucian",Bot,True,False,,"DeepLearn, Blueskies, Deep Learning, Ino1"
Deer (Chan Ka Ching),Hong Kong,1997-02-14,LMS,Reborn Esport,Asia Pacific,Top,,Top,False,False,1.0,Deer (Chan Ka Ching)
Deer (Hung Sheng-Yu),Taiwan,1999-04-06,Taiwan,,LMS,Support,,Support,True,False,1.0,"Deer (Hung Sheng-Yu), Deeeer"
Deer (Ryan Jonas),United States,,,,North America,Mid,,Mid,True,False,,Deer (Ryan Jonas)
Deffaren,Sweden,,Europe,,EMEA,Support,,Support,False,False,,Deffaren
Defflok,Czech Republic,2001-04-20,Europe,Team UNiTY,EMEA,Mid,,Mid,False,False,1.0,"Defflok, DeEfLok"
Deficio,Denmark,1991-08-22,Europe,Misfits Gaming,EMEA,Manager,"Nami,Swain",Director of Misfits Gaming Europe,False,False,1.0,Deficio
define,Portugal,,,,Europe,Top,,Top,True,False,,Define
Define (Tang Jian-Xin),China,,,,China,Bot,,Bot,True,False,,Define (Tang Jian-Xin)
Defleck,Hungary,1999-07-18,Europe,Illés Akadémia Spirit,EMEA,Top,,Top,False,False,1.0,Defleck
defles,Poland,1999-07-03,Europe,R3volt,EMEA,Bot,"Kalista,Ezreal,Varus",Bot,False,False,1.0,"Defles, Damien, Dfls, Michal Aniol"
DeFörklift,Netherlands,,,,Europe,Caster,,Top,True,False,,DeFörklift
defqwop,France,,,,EMEA,Bot,,Bot,False,False,,Defqwop
DeFrantic,Sweden,,,,Europe,Support,,Support,True,False,,DeFrantic
Deft,South Korea,1996-10-23,,KT Rolster,Korea,Bot,"Jinx,Ezreal,Lucian,Caitlyn",Bot,False,False,1.0,Deft
Deftly,United States,1997-12-22,,University of Texas at Dallas,North America,Bot,,Bot,False,False,1.0,"Deftly, Ciscla"
Deftsu,Argentina,2002-12-28,,,Latin America,Bot,"Kai'Sa,Caitlyn,Vayne,Aphelios",Bot,False,False,1.0,"Deftsu, Deftsu3"
Defuse,United States,,,Campbellsville University,North America,Jungle,,Jungle,False,False,,Defuse
Dege,Spain,,Europe,,EMEA,Mid,,Mid,False,False,,Dege
Degh,Ukraine,1999-08-09,Europe,,EMEA,Top,"Camille,Renekton,Aatrox,Gnar,Kennen,Jax,Pantheon",Top,False,False,1.0,"Degh, Degh Sama, DeghSama"
Degla,Tunisia,,,Victorious Demons,EMEA,Support,"Taric,Alistar,Rell,Karma",Support,False,False,,Degla
Dehaste,Croatia,2000-07-20,Europe,Nigma Galaxy Male,EMEA,Mid,"Aatrox,Cassiopeia,Akali",Mid,False,False,1.0,"Dehaste, Jaksa"
Deicara,Germany,1998-12-17,Europe,,EMEA,Coach,Zilean,Head Coach,False,False,1.0,"Deicara, Sebi"
Deidara,Italy,2001-09-07,Europe,The Gulls Esports,EMEA,Top,"Ahri,Renekton,Tryndamere,Camille,Akali",Top,False,False,1.0,"Deidara, D E I D X R A, DEIDXRAA"
Deilor,Spain,1986-08-27,Europe,Movistar KOI,EMEA,Manager,,Esports Performance Director,False,False,1.0,Deilor
Deimos,,2003-07-22,Europe,Lille Esport,EMEA,Top,,Top,False,False,1.0,Deimos
Deitsch,Austria,,,,Europe,Jungle,,Jungle,True,False,,Deitsch
Deity (Owen Magri),Malta,,,,Europe,Bot,,Bot,True,False,,Deity (Owen Magri)
dejan1,Germany,1999-06-20,Europe,,EMEA,Top,Riven,Top,False,False,1.0,Dejan1
DejaVoo,Romania,1996-07-13,Europe,,EMEA,Bot,,Bot,False,False,1.0,DejaVoo
DejaVu,Italy,,Europe,,EMEA,Mid,,Mid,False,False,,DejaVu
dejiwo,Japan,,,,Japan,Support,,Support,True,True,,Dejiwo
Dejv (David Gajdač),Czech Republic,,Europe,,EMEA,Top,,Top,False,False,,Dejv (David Gajdač)
Dejv (David Jochman),Czech Republic,1998-04-26,Europe,,EMEA,Bot,"Jhin,Lucian,Kai'Sa",Bot,False,False,1.0,Dejv (David Jochman)
Dejv (Việt Bùi Anh),Czech Republic,,,,Europe,Top,,Top,True,False,,"Dejv (Việt Bùi Anh), Deivu tan, ZaphkieL"
Dejvos,Czech Republic,2001-10-02,Europe,,EMEA,Support,,Support,False,False,1.0,Dejvos
Dejvosaurus,Czech Republic,2003-03-31,,UNIZA Enigmas,EMEA,Top,,Top,False,False,1.0,Dejvosaurus
Dejw,Czech Republic,,Europe,,EMEA,Bot,"Draven,Aphelios",Bot,False,False,,Dejw
Dek,,,Europe,,EMEA,Mid,"Akali,Yasuo,Azir",Bot,False,False,,Dek
Dekap,Jordan,2000-12-11,,Geekay Esports,EMEA,Support,,Support,False,False,1.0,"Dekap, DaddyKebab, IDekap, Sup Acc"
Dekei,Belgium,,Europe,Association Esport de l'ULB,EMEA,Coach,,Data Analyst,False,False,,Dekei
Deker,United States,,,,North America,Mid,"Sylas,Hwei",Mid,False,False,,Deker
Deku,Costa Rica,,,,Latin America,Mid,,Mid,True,False,,Deku
Deku (Marco Gamio),Peru,,,,Latin America,Mid,,Mid,True,False,,Deku (Marco Gamio)
Deladriend,Peru,,,,Latin America,Substitute,,Substitute,True,False,,Deladriend
Delawen,Costa Rica,1995-12-25,Latin America North,,Latin America,Coach,"Vayne,Kai'Sa,Ezreal",Assistant Coach,True,False,1.0,Delawen
Delay No More,United States,,,,North America,Jungle,,Jungle,True,False,,Delay No More
Deletus,Germany,2002-03-16,Europe,TeamOrangeGaming,EMEA,Jungle,Viego,Jungle,False,False,1.0,"Deletus, DeletusTakeover"
Delicate,Greece,,Europe,MAD Lions KOI Female,EMEA,Jungle,"Nami,Rakan,Jarvan IV,Wukong,Bel'Veth",Jungle,False,False,,Delicate
Delicate (Cheng Jia-Qi),China,,,,China,Top,,Top,False,False,,"Delicate (Cheng Jia-Qi), Muses"
Delight,South Korea,2002-09-12,,Hanwha Life Esports,Korea,Support,"Rakan,Alistar,Leona,Nautilus",Support,False,False,1.0,"Delight, Crescent (Yoo Hwan-joong), Wize"
Delights,United States,,,,North America,Mid,,Mid,False,False,,"Delights, You are in the X"
Deliria,Argentina,,,,Latin America,Mid,,Mid,True,False,,Deliria
Delitto,Greece,1994-10-24,Europe,SINS Esports,EMEA,Top,"Rumble,Urgot,Poppy,Sion",Top,False,False,1.0,Delitto
Deliver,Ecuador,1997-03-01,,,Latin America,Mid,,Mid,False,False,1.0,Deliver
DeliveryPanda,Germany,,Europe,ROSSMANN Centaurs,EMEA,Coach,,Assistant Coach,False,False,,DeliveryPanda
Deliverzz,Bulgaria,,,,EMEA,Jungle,,Jungle,False,False,,Deliverzz
Dellal,Turkey,2002-06-23,Turkey,,EMEA,Support,"Thresh,Leona,Nautilus,Yuumi",Support,True,False,1.0,Dellal
delord,Poland,1995-04-11,Europe,,EMEA,Coach,"Thresh,Morgana,Nami,Braum",Head Coach,False,False,1.0,"Delord, Aven dELORD"
Delpain,Thailand,,,,SEA,Jungle,,Jungle,True,False,,Delpain
Deluxe (Klemen Papež),Slovenia,,Europe,,EMEA,Mid,"Akali,LeBlanc,Zoe,Taliyah",Mid,False,False,,Deluxe (Klemen Papež)
Demacia God,China,,,,Europe,Top,,Top,True,False,,Demacia God
Deman,United Kingdom,1977-08-27,,,Europe,Caster,Ziggs,Caster,True,False,1.0,Deman
Demb,Denmark,1999-12-04,Europe,Nativz,EMEA,Coach,,Head Coach,False,False,1.0,Demb
DemBow,Dominican Republic,2001-02-16,,,Latin America,Mid,"Miss Fortune,Ezreal,Kai'Sa,Xayah",Mid,True,False,1.0,DemBow
Demi,Italy,1995-09-16,,,Europe,Top,"Gangplank,Lulu,Camille,Lissandra,Lucian",Top,True,False,1.0,"Demi, SwagPlank"
Demian,South Korea,,,,Korea,Mid,,Mid,False,False,,Demian
Demigod,Indonesia,1992-08-08,,,SEA,Mid,"Galio,Malphite,Kassadin,Graves",Mid,True,False,1.0,Demigod
Demito,Chile,,,,LAS,Bot,,Bot,True,False,,Demito
Demizos,Mexico,1990-09-23,Latin America North,LVP,Latin America,Caster,"Jarvan IV,Jax",Host,False,False,1.0,Demizos
Demly,,,,,Europe,Top,,Top,True,False,,Demly
Demo (Claudio Velásquez),Chile,1987-11-23,Latin America South,,Latin America,Coach,"Thresh,Leona,Aurelion Sol,Ornn",Head Coach,True,False,1.0,Demo (Claudio Velásquez)
Demo (Liam Milburn),United Kingdom,,,,Europe,Jungle,,Jungle,True,False,,Demo (Liam Milburn)
Demo (Mauro Sá),Portugal,,,,Europe,Bot,,Bot,True,False,,"Demo (Mauro Sá), Fadeez"
Demogoten,Romania,,,,Europe,Jungle,Kayn,Jungle,True,False,,Demogoten
Demon (Ondřej Fučík),Czech Republic,,,,Europe,Support,,Support,True,False,,"Demon (Ondřej Fučík), DemonSpiritCZE, Fuky"
Demon (Randolph Turkington),Malaysia,,,,SEA,Top,,Top,True,False,,"Demon (Randolph Turkington), Demon (Malaysian)"
Demon (Richard Lara),Philippines,,Southeast Asia,,SEA,Bot,,Bot,True,False,,Demon (Richard Lara)
Demon (Tsai Tung-Jung),Taiwan,,,,LMS,Bot,,Bot,True,False,,Demon (Tsai Tung-Jung)
Demon (Wu Yue-Wei),China,2002-02-20,,,China,Top,,Top,False,False,1.0,Demon (Wu Yue-Wei)
demon (Yang Xiao-Zhong),China,,,,China,Support,,Support,True,False,,Demon (Yang Xiao-Zhong)
Demon (Zakaria Nagbi),Morocco,,,,EMEA,Coach,,Assistant Coach,False,False,,"Demon (Zakaria Nagbi), Demon kiting"
Demon12,Italy,1998-05-26,,,Europe,Jungle,"Lee Sin,Nidalee",Jungle,True,False,1.0,"Demon12, Demon (Lorenzo Marzi), Triestino"
Demonadc,Russia,2004-04-30,CIS,,EMEA,Bot,,Bot,False,False,1.0,Demonadc
Demoncior,Poland,,Europe,Inside Games,EMEA,Bot,,Bot,False,False,,Demoncior
Demond,Ecuador,,,,Latin America,Jungle,,Jungle,True,False,,Demond
DemonMasterITA,Italy,,,,Europe,Coach,"Veigar,Talon",Coach,True,False,,"DemonMasterITA, DemonMaster"
Demonmix,Costa Rica,,,,Latin America,Support,,Support,True,False,,"Demonmix, Demonmiix"
DemoZ,United States,1996-04-17,,AOE Esports,North America,Manager,"Ekko,Fizz,LeBlanc,Kassadin",Manager,False,False,1.0,DemoZ
Demro,Czech Republic,2004-02-12,,,Europe,Jungle,"Kindred,Graves,Kha'Zix",Jungle,True,False,1.0,Demro
Dems,Venezuela,,,,Latin America,Owner,,Owner,True,False,,Dems
Demunlul,United States,1994-01-20,,,North America,Bot,,Bot,True,False,1.0,Demunlul
Demy,Mexico,2001-06-24,Latin America North,,Latin America,Bot,Xayah,Bot,False,False,1.0,Demy
Denathor,United States,,,Winthrop University,North America,Top,Camille,Top,False,False,,Denathor
Denden,Norway,,Europe,,EMEA,Support,"Bard,Nami,Zyra",Support,False,False,,Denden
Dengel,France,,Europe,,EMEA,Support,,Support,False,False,,Dengel
Denian,Australia,1990-10-15,,,Oceania,Coach,,Head Coach,True,False,1.0,Denian
DeniDeleni,Russia,,,,CIS,Bot,,Top,True,False,,DeniDeleni
Denis (Ha Joo-ho),South Korea,2002-09-09,,,Korea,Bot,,Bot,False,False,1.0,Denis (Ha Joo-ho)
Denis (Park Tak-min),South Korea,2001-12-15,,,Korea,Bot,,Bot,False,False,1.0,Denis (Park Tak-min)
Deniz,Germany,,Europe,,EMEA,Mid,,Mid,True,False,,Deniz
denizzz,,2007-07-02,,KATANA (Turkish Team),EMEA,Jungle,Bel'Veth,Jungle,False,False,1.0,Denizzz
Dennis,Hong Kong,1994-06-03,Taiwan,,Asia Pacific,Support,,Support,True,False,1.0,Dennis
Densi,Germany,2003-06-03,Europe,Berlin International Gaming,EMEA,Jungle,,Jungle,False,False,1.0,"Densi, Densii, Dopamin Denis"
DenVoksne,Denmark,2001-07-15,Europe,Macko Esports,EMEA,Bot,,Bot,False,False,1.0,"DenVoksne, Den Voksne"
denyk,Czech Republic,1995-04-30,Europe,Entropiq,EMEA,Support,"Thresh,Alistar,Rakan",Support,False,False,1.0,"Denyk, Denyyk"
Denzel,Sweden,1997-09-22,Europe,,EMEA,Mid,,Mid,False,False,1.0,"Denzel, Denzel1, Lundcrantz"
Deokdam,South Korea,2000-02-25,,FunPlus Phoenix,Korea,Bot,"Aphelios,Ezreal",Bot,False,False,1.0,"Deokdam, Feiz (Seo Dae-gil)"
Deoxys,Brazil,1997-09-17,,,Brazil,Mid,"Yasuo,Lulu,Zed,Talon,LeBlanc",Mid,True,False,1.0,Deoxys
Depellini,Turkey,,,,Turkey,Support,,Support,True,False,,Depellini
Depre,United Kingdom,,,,Europe,Support,,Support,True,False,,Depre
Depressed,Ecuador,,,,Latin America,Support,,Support,True,False,,Depressed
Deps,Venezuela,1995-11-11,,,LAN,Jungle,"Lee Sin,Graves,Elise",Jungle,True,False,1.0,Deps
Derakhil,,2001-02-02,,NONAME (Turkish Team),EMEA,Jungle,,Jungle,False,False,1.0,Derakhil
Deratero,Chile,,,,Latin America,Top,,Top,False,False,,Deratero
Derek,Hong Kong,1990-12-23,Taiwan,Hong Kong Attitude,PCS,Owner,,Owner,False,False,1.0,Derek
derfiddler,Germany,1999-05-05,Europe,TeamBasH Gaming,EMEA,Jungle,,Jungle,False,False,1.0,"Derfiddler, Blank (Simon Schwarz), Blank III, DerfiddIer, Fiddler"
Derick Danger,Latvia,,,,Europe,Bot,,Bot,True,False,,Derick Danger
Derive,United States,,,,North America,Mid,,Mid,False,False,,Derive
Derkonsito,Costa Rica,,,,Latin America,Bot,,Bot,True,False,,Derkonsito
Derpaherpa,Venezuela,,,,LAN,Mid,,Mid,True,False,,Derpaherpa
Derpy (Alexander Lozano),Mexico,,,,Latin America,Mid,,Mid,True,False,,"Derpy (Alexander Lozano), Derpy The Derp, DerpyTheDerp, Dipiriri"
Derpy (Ingrid Partida),Mexico,,,Kapsoura,Latin America,Substitute,,Substitute,False,False,,Derpy (Ingrid Partida)
Derpy (Lukáš Brablík),Czech Republic,,,,Europe,Top,,Top,True,False,,Derpy (Lukáš Brablík)
DerpyBunzz,United States,,,,North America,Jungle,,Jungle,True,False,,DerpyBunzz
DerScampi,Austria,,,,Europe,Mid,,Mid,True,False,,DerScampi
Dertako,Chile,2001-11-12,,,Latin America,Top,,Top,False,False,1.0,"Dertako, Dertakø"
Derty,United States,,,,North America,Jungle,,Jungle,True,False,,"Derty, Ghoulster"
Desault,Hungary,,,,Europe,Support,,Support,True,False,,Desault
Desempleado,Colombia,,,,Latin America,Coach,,Head Coach,True,False,,Desempleado
